Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
188.7532807,5.911267807,-10.70251666,-1.33744767,12.29941934,1
188.7632177,5.482287415,-10.22625627,0.9259054291,11.63997824,1
188.7731557,4.950699499,-10.59598974,3.840055969,12.30977067,1
188.7830927,3.832230348,-11.54729665,9.300477136,15.31420662,1
188.7930297,2.742066691,-12.02926743,13.20245395,18.07005797,1
188.8029667,2.249958297,-11.84416446,12.84181172,17.61416113,1
188.8129037,1.491869711,-10.29967624,8.502450314,13.43877477,1
188.8228407,1.156548266,-9.088907332,4.150532595,10.05846714,1
188.8327787,0.9443773681,-8.615169429,1.449513066,8.787154319,1
188.8427157,0.7573721556,-7.852936336,0.1522416242,7.890842743,1
188.8526527,0.2269989981,-6.781449271,0.564851557,6.808717944,1
188.8625897,-2.359519623,-4.389241666,2.662352477,5.649858048,1
188.8725267,-5.445565732,-2.675171328,-0.05132627428,6.067401598,1
188.8824637,-7.543852517,-4.098921561,-2.894823738,9.060401384,1
188.8924017,-9.528614441,-7.269229263,-4.077387435,12.65943425,1
188.9023387,-11.57974402,-10.13163311,-5.087338403,16.20560005,1
188.9122757,-11.23387303,-12.20916755,-4.425111995,17.17105971,1
188.9222127,-9.474245861,-13.39343922,0.2224783329,16.40716445,1
188.9321497,-7.830549687,-12.15605495,0.1057819601,14.4602341,1
188.9420877,-5.077409831,-5.482052357,0.2456099546,7.476183043,1
188.9520247,-2.792616747,2.12706912,2.181631243,4.1331158,1
188.9619617,-5.726019244,20.40402976,4.63586085,21.69338453,1
188.9718987,-11.95216371,63.51322357,9.852422719,65.37472003,1
188.9818357,-8.592276995,64.55913141,15.10703359,66.8575436,1
188.9917727,0.1505798364,21.65608703,1.656768648,21.71989093,1
189.0017107,5.432511823,1.794721568,-17.37818687,18.29575331,1
189.0116477,9.688962636,10.18892764,-12.98967962,19.14215296,1
189.0215847,10.736006,20.19825221,-8.041530676,24.24659631,1
189.0315217,9.222154852,25.63756142,-2.49746158,27.36000749,1
