"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.311887833E0,-8.662348858E-1,-1.355681042E0,-2.639322048E0,3.090995768E0
2.321824833E0,-9.780463667E-1,-3.887797315E0,-2.225870107E0,4.585416055E0
2.331761833E0,-1.055545071E0,-6.505564772E0,-3.790024853E-1,6.601529466E0
2.341698833E0,-1.122494082E0,-8.812165048E0,1.330324591E0,8.982427807E0
2.351635833E0,-6.315213637E-1,-1.064718329E1,1.897951237E0,1.083344590E1
2.361572833E0,3.541779850E-1,-1.183406281E1,1.252273618E0,1.190540524E1
2.371509833E0,1.209549475E0,-1.274285344E1,6.426499307E-1,1.281625229E1
2.381445833E0,1.709917061E0,-1.348697128E1,1.109782820E0,1.364015500E1
2.391382833E0,2.386756685E0,-1.377249316E1,1.634024879E0,1.407296033E1
2.401319833E0,3.274925207E0,-1.332573898E1,1.291497910E0,1.378290323E1
2.411256833E0,4.037853826E0,-1.099069083E1,-2.223643488E-1,1.171106291E1
2.421193833E0,4.424623168E0,-8.592196303E0,-1.632511035E0,9.801439678E0
2.431130833E0,4.236531689E0,-8.623315185E0,-1.787360508E0,9.772636446E0
2.441067833E0,4.025316226E0,-9.303288478E0,-2.007917483E0,1.033373504E1
2.451004833E0,4.089477723E0,-9.826816592E0,-1.978974935E0,1.082619482E1
2.460941833E0,4.016006289E0,-9.931812705E0,-8.558885300E-1,1.074717429E1
2.470877833E0,3.687038428E0,-9.248242790E0,7.254757404E-1,9.982512816E0
2.480814833E0,3.126641280E0,-8.313520929E0,1.715941447E0,9.046268345E0
2.490751833E0,2.544719362E0,-7.897692094E0,2.047479744E0,8.546420909E0
2.500688833E0,2.129590293E0,-7.714806392E0,1.583687954E0,8.158520700E0
2.510625833E0,1.846057490E0,-7.560252787E0,7.248547661E-1,7.816058143E0
2.520562833E0,1.680533048E0,-7.631919186E0,-4.278057774E-2,7.814871206E0
2.530499833E0,1.674824119E0,-7.987539241E0,-3.878142393E-1,8.170447897E0
2.540436833E0,1.736528909E0,-8.430572246E0,-2.930706529E-1,8.612547326E0
2.550373833E0,1.679338462E0,-8.727938830E0,-2.384231418E-1,8.891228232E0
2.560309833E0,1.396178127E0,-8.676372820E0,-9.591304779E-2,8.788512842E0
2.570246833E0,1.353745468E0,-8.610364771E0,3.708163834E-1,8.724019319E0
2.580183833E0,1.538862175E0,-8.624553625E0,9.393364835E-1,8.810980369E0
2.590120833E0,1.865462353E0,-8.612810662E0,1.336832542E0,8.913337115E0
2.600057833E0,2.085353183E0,-8.646727436E0,1.311967843E0,8.990876090E0
2.609994833E0,2.139315674E0,-8.674260805E0,9.742700887E-1,8.987139382E0
2.619931833E0,2.044217582E0,-8.732486794E0,5.722763515E-1,8.986804290E0
2.629868833E0,1.688212635E0,-9.008756039E0,-5.929779068E-1,9.184735710E0
2.639805833E0,1.325963153E0,-9.071073909E0,-3.387796057E0,9.773419170E0
2.649741833E0,9.476127056E-1,-8.028716503E0,-8.304216839E0,1.158957617E1
2.659678833E0,-2.286905245E-1,-4.724211693E0,-6.726255648E0,8.222711872E0
2.669615833E0,-2.637300666E0,1.875070497E0,-4.631763998E0,5.650175387E0
2.679552833E0,-5.971392971E0,1.471463513E1,-3.714050810E0,1.630865398E1
2.689489833E0,-6.848516250E0,3.118649189E1,1.072239719E1,3.368188315E1
2.699426833E0,-9.730152762E0,4.691483541E1,4.689817786E0,4.814220648E1
2.709363833E0,-6.871744899E0,3.645924901E1,-1.680390844E1,4.072921623E1
2.719300833E0,-3.135589567E0,7.250929817E0,-6.913090560E0,1.049755811E1
2.729237833E0,-6.587838605E0,5.883158487E-1,2.507749171E0,7.073509661E0
2.739174833E0,-8.067616274E0,1.428921745E1,4.586921993E0,1.703842778E1
2.749110833E0,-6.880370126E0,3.000458249E1,6.937278445E-1,3.079116305E1
2.759047833E0,-3.826560595E0,3.304401431E1,-3.645991559E0,3.346405089E1
2.768984833E0,3.020457452E-1,2.630402238E1,-3.196304423E0,2.649922993E1
2.778921833E0,3.251220595E0,2.102311190E1,-7.201863492E-1,2.128521406E1
2.788858833E0,4.796724477E0,1.867500809E1,6.381335413E-1,1.929175231E1
2.798795833E0,5.686183918E0,1.621833902E1,4.841846124E-1,1.719306962E1
2.808732833E0,5.529804813E0,1.314639552E1,-5.476432014E-1,1.427257404E1
2.818669833E0,3.976341702E0,9.771276230E0,-2.126569183E0,1.076157186E1
2.828606833E0,2.589045934E0,5.426042463E0,-3.070615014E0,6.750834928E0
2.838542833E0,1.386319136E0,1.263814852E0,-3.521492643E0,3.989989870E0
2.848479833E0,7.217569113E-1,-1.779677852E0,-2.502456272E0,3.154437143E0
2.858416833E0,5.381403065E-1,-4.579054565E0,-6.026140451E-1,4.649782724E0
2.868353833E0,8.135549811E-1,-7.234206780E0,1.041418929E0,7.353922275E0
2.878290833E0,1.350606390E0,-8.771347974E0,7.428805625E-1,8.905759621E0
2.888227833E0,1.640382118E0,-9.607032035E0,7.331352275E-2,9.746347669E0
2.898164833E0,1.719245270E0,-9.972435651E0,2.399240856E-1,1.012239303E1
2.908101833E0,1.755274351E0,-1.039029639E1,6.646249366E-1,1.055845507E1
2.918038833E0,1.890711507E0,-1.167616811E1,1.133661021E0,1.188246099E1
2.927974833E0,2.152675393E0,-1.287944674E1,1.224486480E0,1.311539274E1
2.937911833E0,2.378485360E0,-1.362732433E1,-8.100615621E-2,1.383357232E1
2.947848833E0,1.473639262E0,-1.201406350E1,-2.433229916E0,1.234625216E1
2.957785833E0,-3.497219682E-2,-9.265066398E0,-4.965524529E0,1.051185580E1
2.967722833E0,2.777187699E-1,-9.618558066E0,-5.459418955E0,1.106341007E1
2.977659833E0,8.598563044E-1,-1.052389591E1,-4.641608078E0,1.153413472E1
2.987596833E0,8.474822804E-1,-1.095258336E1,-3.240508204E0,1.145330528E1
2.997533833E0,7.271328413E-1,-1.095803297E1,-8.145861375E-1,1.101230036E1
3.007470833E0,7.379940444E-1,-1.043304071E1,1.807771969E0,1.061418924E1
3.017406833E0,8.400998783E-1,-9.725968494E0,3.784206873E0,1.046997864E1
3.027343833E0,9.515663736E-1,-9.022263692E0,4.865452942E0,1.029462739E1
3.037280833E0,1.329496333E0,-8.181867360E0,4.767648904E0,9.562478239E0
3.047217708E0,2.161166573E0,-7.559908971E0,3.318741025E0,8.534454089E0
3.057154708E0,3.429521204E0,-7.076479892E0,1.717082824E0,8.049009677E0
3.067091708E0,4.741025947E0,-6.968530936E0,4.127110988E-1,8.438488068E0
